Tariff Band,Feeder,Minimum Duration of Supply (Hrs/Day),Average Frequency of Interruptions Per Day,Average Duration of Interruptions,Average Response time to calls,Average Response time to resolving complaints
A,11-MagodoINJ-T2-CMD,21:00,0.45,4:40:28,0:00:05,4:40:28
A,11-ItireINJ-T2-Amuwo-Ijesha,21:00,0.36,10:17:15,0:01:00,10:17:15
A,11-ItireINJ-T2-Canal,21:00,6.72,5:28:59,0:01:00,5:28:59
A,11-AlimoshoINJ-T8-Alimosho,21:00,0.36,8:31:51,0:01:00,8:31:51
A,11-ShashaINJ-T1-NAF,21:00,0.36,8:08:24,0:01:00,8:08:24
A,11-New AlausaINJ-T4-Siyanbola,21:00,0.36,7:08:04,0:01:00,7:08:04
A,11-SecretariatINJ-T2-Agidingbi,21:00,0.36,9:58:17,0:01:00,9:58:17
A,11-OgbaINJ-T2-Mangoro,21:00,0.36,13:16:16,0:01:00,13:16:16
A,11-New AlausaINJ-T4-Allen,21:00,0.36,11:05:47,0:01:00,11:05:47
A,11-New AlausaINJ-T5-Morrison,21:00,0.36,8:11:56,0:01:00,8:11:56
A,11-New AlausaINJ-T5-Alausa,21:00,0.36,8:22:29,0:01:00,8:22:29
A,11-MarylandINJ-T2-Ojota,21:00,0.36,8:21:12,0:01:00,8:21:12
A,11-New AlausaINJ-T4-Oregun,21:00,0.36,9:31:25,0:01:00,9:31:25
A,11-New AlausaINJ-T6-Ogundana,21:00,0.36,6:54:55,0:01:00,6:54:55
A,11-IlupejuINJ-T1-ATM,21:00,0.36,10:00:00,0:01:00,10:00:00
A,11-IlupejuINJ-T1-Rida Plastic,21:00,0.36,5:33:29,0:01:00,5:33:29
A,11-OdogunyanINJ-T2-Centex,21:00,0.36,5:21:08,0:01:00,5:21:08
A,11-Ilupeju BypassINJ-T1-Bypass,21:00,0.36,8:54:40,0:01:00,8:54:40
A,11-MarylandINJ-T2-Westex,21:00,0.36,4:15:14,0:01:00,4:15:14
A,11-Adeniyi JonesINJ-T1-Adeniyi Jones,21:00,5.72,8:27:07,0:01:00,8:27:07
A,11-Ilupeju BypassINJ-T1-Industrial,21:00,5.72,7:41:40,0:01:00,7:41:40
A,11-Ilupeju BypassINJ-T1-Obanikoro,21:00,5.72,7:16:46,0:01:00,7:16:46
A,11-IlupejuINJ-T3-Coker,21:00,5.72,13:05:00,0:01:00,13:05:00
A,11-IlupejuINJ-T3-Palmgrove,21:00,5.72,6:24:19,0:01:00,6:24:19
A,11-ItireINJ-T1-Okota,21:00,5.72,6:18:08,0:01:00,6:18:08
A,11-MarylandINJ-T3-Sylvia,21:00,5.72,8:55:49,0:01:00,8:55:49
A,11-New AlausaINJ-T5-Kudirat,21:00,5.72,6:59:37,0:01:00,6:59:37
A,11-New AlausaINJ-T6-Awolowo,21:00,5.72,5:10:24,0:01:00,5:10:24
A,11-OguduINJ-T1-Ogudu,21:00,5.72,10:17:07,0:01:00,10:17:07
A,11-PTCINJ-T1-Opebi,21:00,5.72,7:46:55,0:01:00,7:46:55
A,11-SecretariatINJ-T1-Estate,21:00,5.72,13:29:16,0:01:00,13:29:16
A,11-SecretariatINJ-T1-Omole,21:00,5.72,5:50:51,0:01:00,5:50:51
A,11-SecretariatINJ-T2-UAC,21:00,5.72,3:54:21,0:01:00,3:54:21
A,11-IgbobiINJ-T3-Railway,21:00,6.72,10:00:00,0:01:00,10:00:00
A,11-MarylandINJ-T2-GRA,21:00,6.72,11:06:17,0:01:00,11:06:17
A,11-MarylandINJ-T3-Demurin,21:00,5.72,9:28:36,0:01:00,9:28:36
A,11-MarylandINJ-T1-Okupe,21:00,5.72,6:52:18,0:01:00,6:52:18
A,11-IlupejuINJ-T4-Ikorodu,21:00,5.72,9:43:14,0:01:00,9:43:14
A,11-OloworaINJ-T1-UNILAG,21:00,5.72,11:20:28,0:01:00,11:20:28
A,11-AjegunleINJ-T1-Owode Onirin,21:00,5.72,4:59:20,0:01:00,4:59:20
A,33-Oke-AroTCN-NEW IJU W/WORKS,21:00,0.25,7:46:19,0:01:00,7:46:19
A,33-Oke-AroTCN-LAMBE,21:00,0.25,17:32:08,0:01:00,17:32:08
A,33-Oke-AroTCN-YIDI,21:00,0.25,14:23:36,0:01:00,14:23:36
A,33-AlimoshoTCN-ADIYAN,21:00,0.25,29:18:09,0:01:00,29:18:09
A,33-AlimoshoTCN-AGEGE,21:00,0.25,10:00:00,0:01:00,10:00:00
A,33-AlausaTCN-ALAUSA,21:00,0.25,7:52:27,0:01:00,7:52:27
A,33-AlausaTCN-OJODU,21:00,0.25,9:26:41,0:01:00,9:26:41
A,33-AlausaTCN-OPEBI,21:00,0.25,10:28:41,0:01:00,10:28:41
A,33-MarylandTCN-M/ALAUSA,21:00,0.25,11:13:23,0:01:00,11:13:23
A,33-MarylandTCN-PTC,21:00,0.25,9:45:24,0:01:00,9:45:24
A,33-OgbaTCN-CISCO,21:00,0.25,5:39:12,0:01:00,5:39:12
A,33-OgbaTCN-PTC DUNLOP,21:00,0.25,10:00:00,0:01:00,10:00:00
A,33-OgbaTCN-PTC EXP.,21:00,0.25,18:01:54,0:01:00,18:01:54
A,33-OgbaTCN-UNIVERSAL STEEL,21:00,0.25,8:54:44,0:01:00,8:54:44
A,33-IkoroduTCN-INDUSTRIAL,21:00,0.25,8:25:41,0:01:00,8:25:41
A,33-IkoroduTCN-PULKIT,21:00,0.25,7:28:52,0:01:00,7:28:52
A,33-IkoroduTCN-SPINTEX,21:00,0.25,6:54:54,0:01:00,6:54:54
A,33-IkoroduTCN-UNTL,21:00,0.25,5:27:00,0:01:00,5:27:00
A,33-OdogunyanTCN-Chiki Chiki,21:00,0.25,5:41:23,0:01:00,5:41:23
A,33-OdogunyanTCN-MEGA STEEL,21:00,0.25,4:55:18,0:01:00,4:55:18
A,33-OdogunyanTCN-ODOGUNYAN,21:00,0.25,4:53:24,0:01:00,4:53:24
A,33-AmuwoTCN-AMUKOKO,21:00,0.25,6:35:23,0:01:00,6:35:23
A,33-AmuwoTCN-HONGXING 1,21:00,0.25,9:52:42,0:01:00,9:52:42
A,33-AmuwoTCN-HONGXING 2,21:00,0.25,6:15:00,0:01:00,6:15:00
A,33-IsoloTCN-AFPRINT,21:00,0.25,7:44:28,0:01:00,7:44:28
A,33-IsoloTCN-AJAO,21:00,0.25,6:10:22,0:01:00,6:10:22
A,33-IsoloTCN-ASWANI,21:00,0.25,9:38:09,0:01:00,9:38:09
A,33-ItireTCN-AGO II,21:00,0.25,8:44:37,0:01:00,8:44:37
A,33-AlausaTCN-MAGODO,21:00,0.25,11:17:28,0:01:00,11:17:28
A,33-OworonshokiTCN-CHEVRON,21:00,0.25,5:02:16,0:01:00,5:02:16
A,33-OworonshokiTCN-IGBOBI,21:00,0.25,6:07:55,0:01:00,6:07:55
A,33-OworonshokiTCN-OGUDU 1,21:00,0.25,7:45:21,0:01:00,7:45:21
A,33-OtaTCN-AMJE,21:00,1.69,10:14:11,0:01:00,10:14:11
A,33-AlausaTCN-OPIC,21:00,1.69,7:04:33,0:01:00,7:04:33
A,33-EjigboTCN-EGBE,21:00,1.69,7:13:39,0:01:00,7:13:39
A,33-ItireTCN-AGO I,21:00,1.69,16:11:02,0:01:00,16:11:02
A,132-EgbinTCN-MARYLAND-LANDCRAFT,21:00,0.25,5:30:07,0:01:00,5:30:07
A,132-EgbinTCN-MARYLAND-OMNIK,21:00,0.25,8:48:55,0:01:00,8:48:55
A,132-EgbinTCN-SAGAMU-TOPSTEEL,21:00,0.25,7:13:51,0:01:00,7:13:51
A,33-OgbaTCN-IJU WATER WORKS,21:00,0.25,10:00:00,0:01:00,10:00:00
A,33-OgbaTCN-SANKYO,21:00,0.25,7:45:09,0:01:00,7:45:09
A,33-IkoroduTCN-DANGOTE,21:00,0.25,6:00:54,0:01:00,6:00:54
A,33-AmuwoTCN-FESTAC 1,21:00,0.25,9:23:50,0:01:00,9:23:50
A,33-EjigboTCN-AIRPORT,21:00,0.25,7:13:10,0:01:00,7:13:10
A,33-EjigboTCN-SHASHA,21:00,0.25,7:15:32,0:01:00,7:15:32
A,33-IsoloTCN-PTC INTERFACE,21:00,0.25,4:32:44,0:01:00,4:32:44
A,33-IlupejuTCN-ILUPEJU IGBOBI,21:00,0.25,10:21:35,0:01:00,10:21:35
A,33-IlupejuTCN-ILUPEJU BY-PASS,21:00,0.25,7:38:46,0:01:00,7:38:46
A,33-AlimoshoTCN-TOWER IPAJA,21:00,1.69,6:22:57,0:01:00,6:22:57
A,33-AyoboTCN-ABESAN,21:00,1.69,7:00:33,0:01:00,7:00:33
A,33-IkoroduTCN-IGBOGBO,21:00,0.25,5:05:30,0:01:00,5:05:30
A,33-EjigboTCN-OKEAFA 2,21:00,0.25,9:53:28,0:01:00,9:53:28
A,33-EjigboTCN-OKEAFA 1,21:00,0.25,9:35:50,0:01:00,9:35:50
A,33-AyoboTCN-AIYETORO,21:00,1.69,6:00:31,0:01:00,6:00:31
A,11-IjuINJ-T2-Water Works,21:00,5.72,8:57:45,0:01:00,8:57:45
A - Bilateral,11-OjoduINJ-T2-Express,21:00,5.72,4:31:15,0:01:00,4:31:15
A - Bilateral,11-PTCINJ-T3-Oba Akinjobi,21:00,0.45,10:38:31,0:00:05,10:38:31
A - Bilateral,11-PTCINJ-T2-Awuse,21:00,0.45,4:21:18,0:00:05,4:21:18
A - Bilateral,11-PTCINJ-T3-General Hospital,21:00,0.45,7:34:12,0:00:05,7:34:12
A - Bilateral,11-Adekunle FajuyiINJ-T1-Oduduwa,21:00,0.45,12:21:00,0:00:05,12:21:00
A - Bilateral,11-Adekunle FajuyiINJ-T1-Isaac John,21:00,0.45,9:49:59,0:00:05,9:49:59
A - Bilateral,11-MarylandINJ-T1-PTC,21:00,0.45,14:00:13,0:00:05,14:00:13
A - Bilateral,11-MagodoINJ-T2-Bashiru,21:00,0.45,4:50:29,0:00:05,4:50:29
A - Bilateral,11-MagodoINJ-T1-Emmanuel Keshi,21:00,0.45,4:32:28,0:00:05,4:32:28
A - Bilateral,11-MagodoINJ-T1-Shangisha,21:00,0.45,4:18:11,0:00:05,4:18:11
A - Bilateral,11-MagodoINJ-T1-Owulade,21:00,0.45,4:28:30,0:00:05,4:28:30
A - Bilateral,11-OguduINJ-T1-CAC,21:00,0.45,7:48:04,0:00:05,7:48:04
A - Bilateral,11-OjoduINJ-T2-River Valley,21:00,5.72,10:00:00,0:01:00,10:00:00
A - Bilateral,11-HilltopINJ-T1-Hilltop,21:00,0.45,7:51:21,0:00:05,7:51:21
A - Bilateral,11-OguduINJ-T1-Express,21:00,0.45,7:51:21,0:00:05,7:51:21
A - Bilateral,11-Lagos HomsINJ-T1-Estate,21:00,0.25,4:40:28,0:00:05,4:40:28
A - Bilateral,11-ShashaINJ-T1-Coker Estate,21:00,0.45,7:51:21,0:00:05,7:51:21
A - Bilateral,11-OworoINJ-T3-GTB,21:00,0.45,7:51:21,0:00:05,7:51:21
A - Bilateral,11-ObawoleINJ-T1-Rotimi Williams,21:00,6.72,16:40:17,0:01:00,16:40:17
B,33-IkoroduTCN-OWUTU,17:00,0.25,5:40:51,0:01:00,4:40:28
B,33-MarylandTCN-AJEGUNLE,17:00,1.69,7:06:43,0:01:00,7:06:43
B,33-OgbaTCN-ABEOKUTA EXP.,17:00,1.69,8:43:05,0:01:00,8:43:05
B,33-IkoroduTCN-FAKALE SOURCE,17:00,1.69,11:44:50,0:01:00,11:44:50
B,11-Oke IraINJ-T2-Thomas Salako,17:00,5.72,5:17:41,0:01:00,5:17:41
B,33-EjigboTCN-AGODO,17:00,1.69,6:35:14,0:01:00,6:35:14
B,33-AlimoshoTCN-EKORO,17:00,1.69,6:00:31,0:01:00,6:00:31
B,11-AjaoINJ-T1-Airport Road,17:00,5.72,10:52:06,0:01:00,10:52:06
B,11-IgbobiINJ-T3-Mushin,17:00,6.72,7:45:56,0:01:00,7:45:56
B,11-AlapereINJ-T1-Araba,17:00,6.72,5:57:39,0:01:00,5:57:39
B,11-OworoINJ-T2-Ladilac,17:00,6.72,8:40:25,0:01:00,8:40:25
B,11-OjoduINJ-T2-Yakoyo,17:00,5.72,7:45:13,0:01:00,7:45:13
B,11-AgegeINJ-T3-Oyemekun,17:00,6.72,2:38:24,0:01:00,2:38:24
B,11-IgbobiINJ-T1-Apata,17:00,6.72,10:00:00,0:01:00,10:00:00
B,11-MarylandINJ-T1-Ketu,17:00,5.72,6:24:21,0:01:00,6:24:21
B,11-IgbobiINJ-T2-Market,17:00,5.72,8:49:23,0:01:00,8:49:23
B,11-IjuINJ-T1-Ajuwon,17:00,5.72,9:55:43,0:01:00,9:55:43
B,11-New GowonINJ-T1-Olorunadaba,17:00,5.72,8:16:10,0:01:00,8:16:10
B,11-OworoINJ-T1-Ifako,17:00,5.72,5:38:16,0:01:00,5:38:16
B,11-IsheriINJ-T1-Bankole,17:00,5.72,8:35:45,0:01:00,8:35:45
B,11-Oke AfaINJ-T2-Osolo,17:00,5.72,10:27:59,0:01:00,10:27:59
B,11-OguduINJ-T3-Soluyi,17:00,5.72,4:13:09,0:01:00,4:13:09
B,11-Oke IraINJ-T1-Oke Ira,17:00,5.72,6:05:13,0:01:00,6:05:13
B,11-OguduINJ-T3-Kola Adeshina,17:00,5.72,4:43:16,0:01:00,4:43:16
B,11-OjoduINJ-T1-Ojodu,17:00,5.72,3:38:33,0:01:00,3:38:33
B,11-IjuINJ-T1-Galilee,17:00,5.72,8:57:45,0:01:00,8:57:45
B,11-OguduINJ-T2-Alapere,17:00,5.72,9:17:04,0:01:00,9:17:04
B,11-BolorunpeluINJ-T3-Governor,17:00,5.72,4:32:03,0:01:00,4:32:03
B,11-OloworaINJ-T1-Orisha,17:00,5.72,9:24:23,0:01:00,9:24:23
B,11-OworoINJ-T2-Oworo,17:00,5.72,8:47:31,0:01:00,8:47:31
B,11-OgbaINJ-T1-Ijaye,17:00,5.72,6:24:00,0:01:00,6:24:00
B,11-OdogunyanINJ-T1-Agodo,17:00,5.72,73:35:00,0:01:00,73:35:00
B,11-IsheriINJ-T1-Isheri,17:00,5.72,11:30:02,0:01:00,11:30:02
B,11-Oke IraINJ-T2-Kayode,17:00,5.72,6:20:53,0:01:00,6:20:53
B,33-AyoboTCN-ABULE TAYLOR,17:00,1.69,7:18:03,0:01:00,7:18:03
B,33-AyoboTCN-AMIKANLE,17:00,1.69,10:16:08,0:01:00,10:16:08
B,11-Oke IraINJ-T1-Nob Oluwa,17:00,5.72,8:30:36,0:01:00,8:30:36
B,11-MongoroINJ-T1-New Dopemu,17:00,6.72,10:26:50,0:01:00,10:26:50
B,11-Abule TaylorINJ-T1-Bode Williams,17:00,6.72,7:33:28,0:01:00,7:33:28
B,11-AmikanleINJ-T1-Isoto,17:00,6.72,10:32:10,0:01:00,10:32:10
B,11-Oke IraINJ-T2-Abiodun Jagun,17:00,6.72,5:25:13,0:01:00,5:25:13
B,11-IgbobiINJ-T3-Ikorodu,17:00,6.72,10:00:00,0:01:00,10:00:00
B,11-AjegunleINJ-T1-Thomas Olaniyan,17:00,5.72,6:07:17,0:01:00,6:07:17
B,11-Adeniyi JonesINJ-T1-Ajao,17:00,5.72,5:40:18,0:01:00,5:40:18
B,11-AlimoshoINJ-T4-FHA,17:00,5.72,8:17:34,0:01:00,8:17:34
B,11-ObawoleINJ-T1-Shonubi,17:00,5.72,10:00:00,0:01:00,10:00:00
B,11-OgbaINJ-T2-Ifako,17:00,5.72,9:07:15,0:01:00,9:07:15
B,11-OgbaINJ-T3-Oba Akran,17:00,5.72,6:29:03,0:01:00,6:29:03
B,11-OpebiINJ-T1-Agbaoku,17:00,5.72,7:44:28,0:01:00,7:44:28
B,11-OpebiINJ-T1-Olusosun,17:00,5.72,4:27:25,0:01:00,4:27:25
B,11-OpebiINJ-T1-Salvation,17:00,5.72,5:57:37,0:01:00,5:57:37
B,11-OworoINJ-T1-Anthony,17:00,5.72,11:10:34,0:01:00,11:10:34
B,11-OworoINJ-T1-Hospital,17:00,5.72,6:20:24,0:01:00,6:20:24
B,11-OworoINJ-T3-Gbagada,17:00,5.72,6:59:49,0:01:00,6:59:49
B,11-PTCINJ-T2-Medical,17:00,5.72,4:17:44,0:01:00,4:17:44
B,11-PTCINJ-T3-Olowu,17:00,5.72,7:17:14,0:01:00,7:17:14
B,11-SecretariatINJ-T1-Lateef Jakande,17:00,5.72,12:45:28,0:01:00,12:45:28
B,11-SecretariatINJ-T2-7Up,17:00,5.72,4:18:25,0:01:00,4:18:25
B,33-OworonshokiTCN-ALAPERE,17:00,0.45,4:40:28,0:00:05,4:40:28
B,11-AmikanleINJ-T1-Ige,17:00,6.72,16:40:17,0:01:00,16:40:17
B,33-EjigboTCN-IGANDO,17:00,0.25,9:35:50,0:01:00,9:35:50
B,11-Adeniyi JonesINJ-T1-Anifowoshe,17:00,5.72,3:54:21,0:01:00,3:54:21
B,11-ObawoleINJ-T1-Youdeowei,17:00,5.72,3:54:21,0:01:00,3:54:21
