feeder,band,band_priority,committed_hours_per_day,primary_business_units,cap_oct,cap_nov,cap_dec,cap_mean,cap_total_q4,cap_for_weight,cap_imputed_flag,demand_weight,avg_interruptions_per_day,avg_interruption_duration_hours,avg_response_time_calls_hours,avg_response_time_complaints_hours,in_myto,in_caps_oct,in_caps_nov,in_caps_dec,months_present,band_myto,band_oct,business_units_oct,n_bus_oct,band_nov,business_units_nov,n_bus_nov,band_dec,business_units_dec,n_bus_dec
11-Adekunle FajuyiINJ-T1- Isaac John,A - Bilateral,5,20.0,IKEJA BU,,,1069.0,1069.0,1069.0,1069.0,False,0.00431161736665882,,,,,False,False,False,True,1,,,,,,,,A - Bilateral,IKEJA BU,1.0
11-Adekunle FajuyiINJ-T1- Oduduwa,A - Bilateral,5,20.0,IKEJA BU,,,988.0,988.0,988.0,988.0,False,0.003984918576481678,,,,,False,False,False,True,1,,,,,,,,A - Bilateral,IKEJA BU,1.0
11-Adekunle FajuyiINJ-T1-Isaac John,A - Bilateral,5,21.0,IKEJA BU,1016.0,1047.0,,1031.5,2063.0,1031.5,False,0.004160367926761995,0.45,9.833055555555555,0.001388888888888889,9.833055555555555,True,True,True,False,2,A - Bilateral,A - Bilateral,IKEJA BU,1.0,A - Bilateral,IKEJA BU,1.0,,,
11-Adekunle FajuyiINJ-T1-Oduduwa,A - Bilateral,5,21.0,IKEJA BU,939.0,968.0,,953.5,1907.0,953.5,False,0.0038457690917765995,0.45,12.35,0.001388888888888889,12.35,True,True,True,False,2,A - Bilateral,A - Bilateral,IKEJA BU,1.0,A - Bilateral,IKEJA BU,1.0,,,
11-Adeniyi JonesINJ-T1- Adeniyi Jones,A,5,20.0,IKEJA BU,,,1000.0,1000.0,1000.0,1000.0,False,0.004033318397248662,,,,,False,False,False,True,1,,,,,,,,A,IKEJA BU,1.0
11-Adeniyi JonesINJ-T1-Adeniyi Jones,A,5,21.0,IKEJA BU,950.0,979.0,,964.5,1929.0,964.5,False,0.003890135594146335,5.72,8.451944444444443,0.016666666666666666,8.451944444444443,True,True,True,False,2,A,A,IKEJA BU,1.0,A,IKEJA BU,1.0,,,
11-AjegunleINJ-T1-Owode Onirin,A,5,21.0,,,,,,,854.1858974358973,True,0.0034452036947985637,5.72,4.988888888888889,0.016666666666666666,4.988888888888889,True,False,False,False,0,A,,,,,,,,,
11-AlimoshoINJ-T8-Alimosho,A,5,21.0,AKOWONJO BU,550.0,567.0,579.0,565.3333333333334,1696.0,565.3333333333334,False,0.002280169333911244,0.36,8.530833333333334,0.016666666666666666,8.530833333333334,True,True,True,True,3,A,B,AKOWONJO BU,1.0,B,AKOWONJO BU,1.0,B,AKOWONJO BU,1.0
11-HilltopINJ-T1-Hilltop,A - Bilateral,5,21.0,AKOWONJO BU,558.0,575.0,587.0,573.3333333333334,1720.0,573.3333333333334,False,0.002312435881089233,0.45,7.855833333333333,0.001388888888888889,7.855833333333333,True,True,True,True,3,A - Bilateral,A - Bilateral,AKOWONJO BU,1.0,A - Bilateral,AKOWONJO BU,1.0,A - Bilateral,AKOWONJO BU,1.0
11-IgbobiINJ-T3-Railway,A,5,21.0,SHOMOLU BU,673.0,694.0,708.0,691.6666666666666,2075.0,691.6666666666666,False,0.0027897118914303244,6.72,10.0,0.016666666666666666,10.0,True,True,True,True,3,A,A,SHOMOLU BU,1.0,A,SHOMOLU BU,1.0,A,SHOMOLU BU,1.0
11-IjuINJ-T2-Water Works,A,5,21.0,,,,,,,854.1858974358973,True,0.0034452036947985637,5.72,8.962499999999999,0.016666666666666666,8.962499999999999,True,False,False,False,0,A,,,,,,,,,
11-Ilupeju BypassINJ-T1- Bypass,A,5,20.0,SHOMOLU BU,,,895.0,895.0,895.0,895.0,False,0.0036098199655375525,,,,,False,False,False,True,1,,,,,,,,A,SHOMOLU BU,1.0
11-Ilupeju BypassINJ-T1- Industrial,A,5,20.0,SHOMOLU BU,,,543.0,543.0,543.0,543.0,False,0.0021900918897060236,,,,,False,False,False,True,1,,,,,,,,A,SHOMOLU BU,1.0
11-Ilupeju BypassINJ-T1- Obanikoro,A,5,20.0,SHOMOLU BU,,,857.0,857.0,857.0,857.0,False,0.0034565538664421036,,,,,False,False,False,True,1,,,,,,,,A,SHOMOLU BU,1.0
11-Ilupeju BypassINJ-T1-Bypass,A,5,21.0,SHOMOLU BU,851.0,877.0,,864.0,1728.0,864.0,False,0.003484787095222844,0.36,8.911111111111111,0.016666666666666666,8.911111111111111,True,True,True,False,2,A,A,SHOMOLU BU,1.0,A,SHOMOLU BU,1.0,,,
11-Ilupeju BypassINJ-T1-Industrial,A,5,21.0,SHOMOLU BU,516.0,532.0,,524.0,1048.0,524.0,False,0.002113458840158299,5.72,7.694444444444445,0.016666666666666666,7.694444444444445,True,True,True,False,2,A,A,SHOMOLU BU,1.0,A,SHOMOLU BU,1.0,,,
11-Ilupeju BypassINJ-T1-Obanikoro,A,5,21.0,SHOMOLU BU,815.0,839.0,,827.0,1654.0,827.0,False,0.0033355543145246434,5.72,7.279444444444445,0.016666666666666666,7.279444444444445,True,True,True,False,2,A,A,SHOMOLU BU,1.0,A,SHOMOLU BU,1.0,,,
11-IlupejuINJ-T1-ATM,A,5,21.0,,,,,,,854.1858974358973,True,0.0034452036947985637,0.36,10.0,0.016666666666666666,10.0,True,False,False,False,0,A,,,,,,,,,
11-IlupejuINJ-T1-Bhojson,A,5,20.0,IKEJA BU,1377.0,1419.0,1449.0,1415.0,4245.0,1415.0,False,0.005707145532106857,,,,,False,True,True,True,3,,A,IKEJA BU,1.0,A,IKEJA BU,1.0,A,IKEJA BU,1.0
11-IlupejuINJ-T1-Rida Plastic,A,5,21.0,,,,,,,854.1858974358973,True,0.0034452036947985637,0.36,5.558055555555556,0.016666666666666666,5.558055555555556,True,False,False,False,0,A,,,,,,,,,
11-IlupejuINJ-T3-Coker,A,5,21.0,SHOMOLU BU,884.0,911.0,930.0,908.3333333333334,2725.0,908.3333333333334,False,0.003663597544167535,5.72,13.083333333333334,0.016666666666666666,13.083333333333334,True,True,True,True,3,A,A,SHOMOLU BU,1.0,A,SHOMOLU BU,1.0,A,SHOMOLU BU,1.0
11-IlupejuINJ-T3-Palmgrove,A,5,21.0,SHOMOLU BU,873.0,900.0,919.0,897.3333333333334,2692.0,897.3333333333334,False,0.0036192310417977997,5.72,6.405277777777778,0.016666666666666666,6.405277777777778,True,True,True,True,3,A,A,SHOMOLU BU,1.0,A,SHOMOLU BU,1.0,A,SHOMOLU BU,1.0
11-IlupejuINJ-T4-Ikorodu,A,5,21.0,IKEJA BU,848.0,874.0,892.0,871.3333333333334,2614.0,871.3333333333334,False,0.0035143647634693345,5.72,9.720555555555556,0.016666666666666666,9.720555555555556,True,True,True,True,3,A,A,IKEJA BU,1.0,A,IKEJA BU,1.0,A,IKEJA BU,1.0
11-IlupejuLocal-T1-Obanikoro,A,5,20.0,SHOMOLU BU,802.0,826.0,843.0,823.6666666666666,2471.0,823.6666666666666,False,0.003322109919867148,,,,,False,True,True,True,3,,A,SHOMOLU BU,1.0,A,SHOMOLU BU,1.0,A,SHOMOLU BU,1.0
11-ItireINJ-T1-Okota,A,5,21.0,OSHODI BU,572.0,589.0,601.0,587.3333333333334,1762.0,587.3333333333334,False,0.0023689023386507142,5.72,6.302222222222222,0.016666666666666666,6.302222222222222,True,True,True,True,3,A,B,OSHODI BU,1.0,B,OSHODI BU,1.0,B,OSHODI BU,1.0
11-ItireINJ-T2-Amuwo-Ijesha,A,5,21.0,,,,,,,854.1858974358973,True,0.0034452036947985637,0.36,10.2875,0.016666666666666666,10.2875,True,False,False,False,0,A,,,,,,,,,
11-ItireINJ-T2-Canal,A,5,21.0,OSHODI BU,624.0,643.0,656.0,641.0,1923.0,641.0,False,0.0025853570926363924,6.72,5.483055555555556,0.016666666666666666,5.483055555555556,True,True,True,True,3,A,A,OSHODI BU,1.0,A,OSHODI BU,1.0,A,OSHODI BU,1.0
11-Lagos HomsINJ-T1-Estate,A - Bilateral,5,21.0,,,,,,,924.0588235294117,True,0.003727023453081131,0.25,4.674444444444445,0.001388888888888889,4.674444444444445,True,False,False,False,0,A - Bilateral,,,,,,,,,
11-MagodoINJ-T1-Emmanuel Keshi,A - Bilateral,5,21.0,SHOMOLU BU,908.0,936.0,955.0,933.0,2799.0,933.0,False,0.0037630860646330018,0.45,4.541111111111111,0.001388888888888889,4.541111111111111,True,True,True,True,3,A - Bilateral,A - Bilateral,SHOMOLU BU,1.0,A - Bilateral,SHOMOLU BU,1.0,A - Bilateral,SHOMOLU BU,1.0
11-MagodoINJ-T1-Owulade,A - Bilateral,5,21.0,SHOMOLU BU,816.0,841.0,858.0,838.3333333333334,2515.0,838.3333333333334,False,0.0033812652563601285,0.45,4.4750000000000005,0.001388888888888889,4.4750000000000005,True,True,True,True,3,A - Bilateral,A - Bilateral,SHOMOLU BU,1.0,A - Bilateral,SHOMOLU BU,1.0,A - Bilateral,SHOMOLU BU,1.0
11-MagodoINJ-T1-Shangisha,A - Bilateral,5,21.0,SHOMOLU BU,879.0,906.0,925.0,903.3333333333334,2710.0,903.3333333333334,False,0.0036434309521812917,0.45,4.303055555555555,0.001388888888888889,4.303055555555555,True,True,True,True,3,A - Bilateral,A - Bilateral,SHOMOLU BU,1.0,A - Bilateral,SHOMOLU BU,1.0,A - Bilateral,SHOMOLU BU,1.0
11-MagodoINJ-T2-Bashiru,A - Bilateral,5,21.0,SHOMOLU BU,960.0,989.0,1010.0,986.3333333333334,2959.0,986.3333333333334,False,0.00397819637915293,0.45,4.841388888888889,0.001388888888888889,4.841388888888889,True,True,True,True,3,A - Bilateral,A - Bilateral,SHOMOLU BU,1.0,A - Bilateral,SHOMOLU BU,1.0,A - Bilateral,SHOMOLU BU,1.0
11-MagodoINJ-T2-CMD,A,5,21.0,SHOMOLU BU,796.0,821.0,838.0,818.3333333333334,2455.0,818.3333333333334,False,0.0033005988884151553,0.45,4.674444444444445,0.001388888888888889,4.674444444444445,True,True,True,True,3,A,B,SHOMOLU BU,1.0,B,SHOMOLU BU,1.0,B,SHOMOLU BU,1.0
11-MarylandINJ-T1-Okupe,A,5,21.0,SHOMOLU BU,819.0,844.0,861.0,841.3333333333334,2524.0,841.3333333333334,False,0.0033933652115518747,5.72,6.871666666666667,0.016666666666666666,6.871666666666667,True,True,True,True,3,A,A,SHOMOLU BU,1.0,A,SHOMOLU BU,1.0,A,SHOMOLU BU,1.0
11-MarylandINJ-T1-PTC,A - Bilateral,5,21.0,IKEJA BU,980.0,1010.0,1031.0,1007.0,3021.0,1007.0,False,0.004061551626029403,0.45,14.00361111111111,0.001388888888888889,14.00361111111111,True,True,True,True,3,A - Bilateral,A - Bilateral,IKEJA BU,1.0,A - Bilateral,IKEJA BU,1.0,A - Bilateral,IKEJA BU,1.0
11-MarylandINJ-T2-GRA,A,5,21.0,IKEJA BU,1255.0,1293.0,1320.0,1289.3333333333333,3868.0,1289.3333333333333,False,0.0052002918535192745,6.72,11.104722222222222,0.016666666666666666,11.104722222222222,True,True,True,True,3,A,B,IKEJA BU,1.0,B,IKEJA BU,1.0,B,IKEJA BU,1.0
11-MarylandINJ-T2-Ojota,A,5,21.0,IKEJA BU;SHOMOLU BU,1677.0,1728.0,1764.0,1723.0,5169.0,1723.0,False,0.006949407598459445,0.36,8.353333333333333,0.016666666666666666,8.353333333333333,True,True,True,True,3,A,B,IKEJA BU;SHOMOLU BU,2.0,B,IKEJA BU;SHOMOLU BU,2.0,B,IKEJA BU;SHOMOLU BU,2.0
11-MarylandINJ-T2-Westex,A,5,21.0,SHOMOLU BU,846.0,871.0,890.0,869.0,2607.0,869.0,False,0.0035049536872090873,0.36,4.253888888888889,0.016666666666666666,4.253888888888889,True,True,True,True,3,A,A,SHOMOLU BU,1.0,A,SHOMOLU BU,1.0,A,SHOMOLU BU,1.0
11-MarylandINJ-T3-Demurin,A,5,21.0,SHOMOLU BU,769.0,792.0,809.0,790.0,2370.0,790.0,False,0.003186321533826443,5.72,9.476666666666667,0.016666666666666666,9.476666666666667,True,True,True,True,3,A,A,SHOMOLU BU,1.0,A,SHOMOLU BU,1.0,A,SHOMOLU BU,1.0
11-MarylandINJ-T3-Sylvia,A,5,21.0,SHOMOLU BU,857.0,883.0,902.0,880.6666666666666,2642.0,880.6666666666666,False,0.0035520090685103216,5.72,8.930277777777777,0.016666666666666666,8.930277777777777,True,True,True,True,3,A,A,SHOMOLU BU,1.0,A,SHOMOLU BU,1.0,A,SHOMOLU BU,1.0
11-New AlausaINJ-T4- Siyanbola,A,5,20.0,IKEJA BU,,,1022.0,1022.0,1022.0,1022.0,False,0.004122051401988133,,,,,False,False,False,True,1,,,,,,,,A,IKEJA BU,1.0
11-New AlausaINJ-T4-Allen,A,5,21.0,IKEJA BU,923.0,951.0,971.0,948.3333333333334,2845.0,948.3333333333334,False,0.0038249302800574814,0.36,11.096388888888889,0.016666666666666666,11.096388888888889,True,True,True,True,3,A,A,IKEJA BU,1.0,A,IKEJA BU,1.0,A,IKEJA BU,1.0
11-New AlausaINJ-T4-Oregun,A,5,21.0,IKEJA BU,997.0,1027.0,1049.0,1024.3333333333333,3073.0,1024.3333333333333,False,0.004131462478248379,0.36,9.523611111111112,0.016666666666666666,9.523611111111112,True,True,True,True,3,A,A,IKEJA BU,1.0,A,IKEJA BU,1.0,A,IKEJA BU,1.0
11-New AlausaINJ-T4-Siyanbola,A,5,21.0,IKEJA BU,972.0,1001.0,,986.5,1973.0,986.5,False,0.0039788685988858055,0.36,7.134444444444445,0.016666666666666666,7.134444444444445,True,True,True,False,2,A,A,IKEJA BU,1.0,A,IKEJA BU,1.0,,,
11-New AlausaINJ-T5-Alausa,A,5,21.0,IKEJA BU,937.0,966.0,986.0,963.0,2889.0,963.0,False,0.0038840856165504615,0.36,8.374722222222223,0.016666666666666666,8.374722222222223,True,True,True,True,3,A,B,IKEJA BU,1.0,B,IKEJA BU,1.0,B,IKEJA BU,1.0
11-New AlausaINJ-T5-Kudirat,A,5,21.0,IKEJA BU,846.0,872.0,890.0,869.3333333333334,2608.0,869.3333333333334,False,0.003506298126674837,5.72,6.993611111111111,0.016666666666666666,6.993611111111111,True,True,True,True,3,A,A,IKEJA BU,1.0,A,IKEJA BU,1.0,A,IKEJA BU,1.0
11-New AlausaINJ-T5-Morrison,A,5,21.0,IKEJA BU,746.0,769.0,,757.5,1515.0,757.5,False,0.0030552386859158615,0.36,8.19888888888889,0.016666666666666666,8.19888888888889,True,True,True,False,2,A,B,IKEJA BU,1.0,B,IKEJA BU,1.0,,,
11-New AlausaINJ-T6- Awolowo,A,5,20.0,IKEJA BU,,,903.0,903.0,903.0,903.0,False,0.003642086512715542,,,,,False,False,False,True,1,,,,,,,,A,IKEJA BU,1.0
11-New AlausaINJ-T6- Ogundana,A,5,20.0,IKEJA BU,,,955.0,955.0,955.0,955.0,False,0.0038518190693724724,,,,,False,False,False,True,1,,,,,,,,A,IKEJA BU,1.0
11-New AlausaINJ-T6-Awolowo,A,5,21.0,IKEJA BU,858.0,884.0,,871.0,1742.0,871.0,False,0.0035130203240035848,5.72,5.173333333333334,0.016666666666666666,5.173333333333334,True,True,True,False,2,A,A,IKEJA BU,1.0,A,IKEJA BU,1.0,,,
11-New AlausaINJ-T6-Ogundana,A,5,21.0,IKEJA BU,908.0,935.0,,921.5,1843.0,921.5,False,0.0037167029030646423,0.36,6.915277777777778,0.016666666666666666,6.915277777777778,True,True,True,False,2,A,A,IKEJA BU,1.0,A,IKEJA BU,1.0,,,
11-ObawoleINJ-T1-Rotimi Williams,A - Bilateral,5,21.0,,,,,,,924.0588235294117,True,0.003727023453081131,6.72,16.67138888888889,0.016666666666666666,16.67138888888889,True,False,False,False,0,A - Bilateral,,,,,,,,,
11-OdogunyanINJ-T2-Centex,A,5,21.0,IKORODU BU,811.0,836.0,853.0,833.3333333333334,2500.0,833.3333333333334,False,0.003361098664373885,0.36,5.352222222222222,0.016666666666666666,5.352222222222222,True,True,True,True,3,A,B,IKORODU BU,1.0,B,IKORODU BU,1.0,B,IKORODU BU,1.0
11-OgbaINJ-T2-Mangoro,A,5,21.0,IKEJA BU,824.0,850.0,867.0,847.0,2541.0,847.0,False,0.003416220682469617,0.36,13.271111111111113,0.016666666666666666,13.271111111111113,True,True,True,True,3,A,B,IKEJA BU,1.0,B,IKEJA BU,1.0,B,IKEJA BU,1.0
11-OguduINJ-T1-CAC,A - Bilateral,5,21.0,SHOMOLU BU,822.0,847.0,865.0,844.6666666666666,2534.0,844.6666666666666,False,0.00340680960620937,0.45,7.801111111111111,0.001388888888888889,7.801111111111111,True,True,True,True,3,A - Bilateral,A - Bilateral,SHOMOLU BU,1.0,A - Bilateral,SHOMOLU BU,1.0,A - Bilateral,SHOMOLU BU,1.0
11-OguduINJ-T1-Express,A - Bilateral,5,21.0,SHOMOLU BU,798.0,822.0,839.0,819.6666666666666,2459.0,819.6666666666666,False,0.0033059766462781534,0.45,7.855833333333333,0.001388888888888889,7.855833333333333,True,True,True,True,3,A - Bilateral,A - Bilateral,SHOMOLU BU,1.0,A - Bilateral,SHOMOLU BU,1.0,A - Bilateral,SHOMOLU BU,1.0
11-OguduINJ-T1-Ogudu,A,5,21.0,SHOMOLU BU,623.0,642.0,655.0,640.0,1920.0,640.0,False,0.0025813237742391437,5.72,10.285277777777777,0.016666666666666666,10.285277777777777,True,True,True,True,3,A,B,SHOMOLU BU,1.0,B,SHOMOLU BU,1.0,B,SHOMOLU BU,1.0
11-OjoduINJ-T2-Express,A - Bilateral,5,21.0,IKEJA BU,816.0,841.0,859.0,838.6666666666666,2516.0,838.6666666666666,False,0.0033826096958258778,5.72,4.520833333333333,0.016666666666666666,4.520833333333333,True,True,True,True,3,A - Bilateral,A - Bilateral,IKEJA BU,1.0,A - Bilateral,IKEJA BU,1.0,A - Bilateral,IKEJA BU,1.0
11-OjoduINJ-T2-River Valley,A - Bilateral,5,21.0,IKEJA BU,848.0,874.0,892.0,871.3333333333334,2614.0,871.3333333333334,False,0.0035143647634693345,5.72,10.0,0.016666666666666666,10.0,True,True,True,True,3,A - Bilateral,A - Bilateral,IKEJA BU,1.0,A - Bilateral,IKEJA BU,1.0,A - Bilateral,IKEJA BU,1.0
11-Oke AfaINJ-T1-LCHE,A,5,20.0,OSHODI BU,613.0,632.0,645.0,630.0,1890.0,630.0,False,0.002540990590266657,,,,,False,True,True,True,3,,A,OSHODI BU,1.0,A,OSHODI BU,1.0,A,OSHODI BU,1.0
11-OloworaINJ-T1-UNILAG,A,5,21.0,SHOMOLU BU,769.0,792.0,809.0,790.0,2370.0,790.0,False,0.003186321533826443,5.72,11.341111111111111,0.016666666666666666,11.341111111111111,True,True,True,True,3,A,A,SHOMOLU BU,1.0,A,SHOMOLU BU,1.0,A,SHOMOLU BU,1.0
11-OworoINJ-T3-GTB,A - Bilateral,5,21.0,,,,,,,924.0588235294117,True,0.003727023453081131,0.45,7.855833333333333,0.001388888888888889,7.855833333333333,True,False,False,False,0,A - Bilateral,,,,,,,,,
11-PTCINJ-T1-Opebi,A,5,21.0,IKEJA BU,826.0,851.0,869.0,848.6666666666666,2546.0,848.6666666666666,False,0.0034229428797983644,5.72,7.781944444444444,0.016666666666666666,7.781944444444444,True,True,True,True,3,A,A,IKEJA BU,1.0,A,IKEJA BU,1.0,A,IKEJA BU,1.0
11-PTCINJ-T2-Awuse,A - Bilateral,5,21.0,IKEJA BU,1048.0,1080.0,1102.0,1076.6666666666667,3230.0,1076.6666666666667,False,0.00434253947437106,0.45,4.3549999999999995,0.001388888888888889,4.3549999999999995,True,True,True,True,3,A - Bilateral,A - Bilateral,IKEJA BU,1.0,A - Bilateral,IKEJA BU,1.0,A - Bilateral,IKEJA BU,1.0
11-PTCINJ-T3-General Hospital,A - Bilateral,5,21.0,IKEJA BU,1001.0,1031.0,1053.0,1028.3333333333333,3085.0,1028.3333333333333,False,0.004147595751837374,0.45,7.569999999999999,0.001388888888888889,7.569999999999999,True,True,True,True,3,A - Bilateral,A - Bilateral,IKEJA BU,1.0,A - Bilateral,IKEJA BU,1.0,A - Bilateral,IKEJA BU,1.0
11-PTCINJ-T3-Oba Akinjobi,A - Bilateral,5,21.0,IKEJA BU,921.0,949.0,969.0,946.3333333333334,2839.0,946.3333333333334,False,0.0038168636432629843,0.45,10.641944444444444,0.001388888888888889,10.641944444444444,True,True,True,True,3,A - Bilateral,A - Bilateral,IKEJA BU,1.0,A - Bilateral,IKEJA BU,1.0,A - Bilateral,IKEJA BU,1.0
11-SecretariatINJ-T1-Estate,A,5,21.0,IKEJA BU,914.0,942.0,961.0,939.0,2817.0,939.0,False,0.003787285975016494,5.72,13.487777777777778,0.016666666666666666,13.487777777777778,True,True,True,True,3,A,A,IKEJA BU,1.0,A,IKEJA BU,1.0,A,IKEJA BU,1.0
11-SecretariatINJ-T1-Omole,A,5,21.0,IKEJA BU,880.0,906.0,925.0,903.6666666666666,2711.0,903.6666666666666,False,0.003644775391647041,5.72,5.8475,0.016666666666666666,5.8475,True,True,True,True,3,A,B,IKEJA BU,1.0,B,IKEJA BU,1.0,B,IKEJA BU,1.0
11-SecretariatINJ-T2- Agidingbi,A,5,20.0,IKEJA BU,,,901.0,901.0,901.0,901.0,False,0.0036340198759210445,,,,,False,False,False,True,1,,,,,,,,A,IKEJA BU,1.0
11-SecretariatINJ-T2-Agidingbi,A,5,21.0,IKEJA BU,856.0,882.0,,869.0,1738.0,869.0,False,0.0035049536872090873,0.36,9.971388888888889,0.016666666666666666,9.971388888888889,True,True,True,False,2,A,A,IKEJA BU,1.0,A,IKEJA BU,1.0,,,
11-SecretariatINJ-T2-UAC,A,5,21.0,IKEJA BU,875.0,901.0,920.0,898.6666666666666,2696.0,898.6666666666666,False,0.0036246087996607977,5.72,3.9058333333333333,0.016666666666666666,3.9058333333333333,True,True,True,True,3,A,B,IKEJA BU,1.0,B,IKEJA BU,1.0,B,IKEJA BU,1.0
11-ShashaINJ-T1-Coker Estate,A - Bilateral,5,21.0,,,,,,,924.0588235294117,True,0.003727023453081131,0.45,7.855833333333333,0.001388888888888889,7.855833333333333,True,False,False,False,0,A - Bilateral,,,,,,,,,
11-ShashaINJ-T1-NAF,A,5,21.0,,,,,,,854.1858974358973,True,0.0034452036947985637,0.36,8.139999999999999,0.016666666666666666,8.139999999999999,True,False,False,False,0,A,,,,,,,,,
132-EgbinTCN-MARYLAND-LANDCRAFT,A,5,21.0,,,,,,,854.1858974358973,True,0.0034452036947985637,0.25,5.501944444444445,0.016666666666666666,5.501944444444445,True,False,False,False,0,A,,,,,,,,,
132-EgbinTCN-MARYLAND-OMNIK,A,5,21.0,,,,,,,854.1858974358973,True,0.0034452036947985637,0.25,8.815277777777778,0.016666666666666666,8.815277777777778,True,False,False,False,0,A,,,,,,,,,
132-EgbinTCN-SAGAMU-TOPSTEEL,A,5,21.0,,,,,,,854.1858974358973,True,0.0034452036947985637,0.25,7.230833333333334,0.016666666666666666,7.230833333333334,True,False,False,False,0,A,,,,,,,,,
33-AlausaTCN-ALAUSA,A,5,21.0,,,,,,,854.1858974358973,True,0.0034452036947985637,0.25,7.874166666666667,0.016666666666666666,7.874166666666667,True,False,False,False,0,A,,,,,,,,,
33-AlausaTCN-MAGODO,A,5,21.0,,,,,,,854.1858974358973,True,0.0034452036947985637,0.25,11.29111111111111,0.016666666666666666,11.29111111111111,True,False,False,False,0,A,,,,,,,,,
33-AlausaTCN-OJODU,A,5,21.0,,,,,,,854.1858974358973,True,0.0034452036947985637,0.25,9.444722222222222,0.016666666666666666,9.444722222222222,True,False,False,False,0,A,,,,,,,,,
33-AlausaTCN-OPEBI,A,5,21.0,,,,,,,854.1858974358973,True,0.0034452036947985637,0.25,10.478055555555555,0.016666666666666666,10.478055555555555,True,False,False,False,0,A,,,,,,,,,
33-AlausaTCN-OPIC,A,5,21.0,SHOMOLU BU,782.0,806.0,823.0,803.6666666666666,2411.0,803.6666666666666,False,0.0032414435519221747,1.69,7.075833333333333,0.016666666666666666,7.075833333333333,True,True,True,True,3,A,A,SHOMOLU BU,1.0,A,SHOMOLU BU,1.0,A,SHOMOLU BU,1.0
